volume,image_number,item,entry,first_letter,problem,reference_link
1,431,#item-fb558fcd2,Affection,A,"The point of reference for ""Gods affection"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0010/'>Affection</a>
1,432,#item-1b8a91cc7,Agreement,A,"The point of reference for ""Consent"" is unclear. Pastorius perhaps intends numerical entry 649 [Consent].",<a href='/digital-beehive/alpha1/alpha_0015/'>Agreement</a>
1,432,#item-d48f2cc1d,Alamode,A,"The point of reference for ""Clothes"" is unclear. Pastorius perhaps intends numerical entry 19 [Clothes].",<a href='/digital-beehive/alpha1/alpha_0017/'>Alamode</a>
1,434,#item-8e0b719bf,Approbation,A,"The point of reference for ""Confirm"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0044/'>Approbation</a>
1,436,#item-d449462c4,Beer,B,"The point of reference for ""Brewing"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0072/'>Beer</a>
1,437,#item-c61e17bec,Blackness,B,"It is unclear whether ""White"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0083/'>Blackness</a>
1,437,#item-f7569668d,Blockhead,B,"It is unclear whether ""It. nick-name"" should be considered a cross-reference.",<a href='/digital-beehive/alpha1/alpha_0087/'>Blockhead</a>
1,437,#item-f7569668d,Blockhead,B,"The point of reference for ""Stupidity"" is unclear. Pastorius perhaps intends numerical entry 711 [Stupidity].",<a href='/digital-beehive/alpha1/alpha_0087/'>Blockhead</a>
1,437,#item-f9f42e163,Blood,B,"It is unclear whether ""blood of Xst"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0088/'>Blood</a>
1,438,#item-98fd4aab7,Bride & Bridegroom,B,"The point of reference for ""Wedding"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0102/'>Bride & Bridegroom</a>
1,438,#item-f8fd97935,Brother,B,"It is unclear whether ""Brethren in Iniquity"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0105/'>Brother</a>
1,438,#item-0cf4c56c5,Buffoon,B,"The point of reference for ""jester"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0107/'>Buffoon</a>
1,439,#item-01e9433b9,Calling,C,"The point of reference for ""Ordination"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0116/'>Calling</a>
1,440,#item-9ad056c61,Celibate,C,"It is unclear whether ""To prevent generation"" should be considered a separate entry.",<a href='/digital-beehive/alpha1/alpha_0135/'>Celibate</a>
1,441,#item-bedd177d3,Chiliasm,C,"The point of reference for ""Restoration"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0144/'>Chiliasm</a>
1,443,#item-ece88d81a,Company,C,"The point of reference for ""Stock"" is unclear. Pastorius perhaps intends numerical entry 632 [Stock].",<a href='/digital-beehive/alpha1/alpha_0164/'>Company</a>
1,443,#item-ece88d81a,Company,C,"The point of reference for ""Train"" is unclear. Pastorius perhaps intends numerical entry 866 [Train].",<a href='/digital-beehive/alpha1/alpha_0164/'>Company</a>
1,444,#item-5f770ccf9,Contentment,C,"The point of reference for ""easy in living"" is unclear.",<a href='/digital-beehive/alpha1/alpha_0177/'>Contentment</a>
1,445,#item-4506d1ee4,Covenant,C,"The cross-reference ""(: old & new :) Testament"" points to two separate entries. There is currently no protocol for linking a single cross-reference to two different places. ",<a href='/digital-beehive/alpha1/alpha_0182/'>Covenant</a>
1,447,#item-84f269f52,Danger,D,"The point of reference for ""Pinch"" is unclear. Pastorius perhaps intends numerical entry 645 [Pinch].",<a href='/digital-beehive/alpha1/alpha_0209/'>Danger</a>
